Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Median values [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
737.00	709.00	712.00	692.00	705.00	638.00	738.00	713.00	688.00	701.00	707.00	700.50	711.00	674.00	717.00	680.00	710.00	640.00	685.00	703.00	662.50	699.00	685.00	678.00	709.00	713.00	718.00	734.00	735.00	708.00	663.00	708.00	699.16	24.951	706.00	  2	703.17	19.981
712.00	685.50	691.00	673.00	683.00	618.00	716.00	692.50	669.50	680.00	687.50	679.00	693.00	655.00	698.00	661.00	691.00	621.00	668.00	684.50	645.00	678.00	663.50	658.00	686.50	692.00	696.00	712.00	713.00	687.00	644.00	685.00	678.70	23.962	684.75	  2	682.65	18.862
700.00	674.00	681.00	662.00	672.00	606.00	704.00	683.00	659.50	668.00	677.50	667.50	682.00	645.00	687.00	651.00	680.00	612.00	659.00	675.00	635.00	668.00	652.00	649.00	675.00	681.00	685.00	699.00	701.00	676.00	632.00	674.00	667.89	23.591	674.00	  2	671.82	18.416
693.00	667.00	674.00	656.00	665.00	601.00	698.00	678.00	656.00	662.00	672.50	662.00	677.00	640.00	681.00	645.00	674.00	607.00	654.00	669.00	629.00	662.00	646.00	642.00	668.00	674.00	678.00	693.00	692.00	670.00	626.00	667.00	661.83	23.183	667.00	  2	665.68	18.108
688.00	662.00	669.00	651.00	660.00	596.00	693.00	673.50	650.00	658.00	668.00	657.00	672.00	636.00	677.00	641.00	670.00	603.00	650.00	665.00	625.00	658.00	642.00	638.00	662.00	669.00	673.00	687.00	687.00	666.00	621.00	662.00	657.17	22.995	662.00	  2	661.02	17.881
684.00	657.00	666.00	646.00	656.00	592.00	688.00	669.50	646.00	653.00	665.00	653.00	668.00	632.00	673.00	637.00	666.00	599.00	646.00	661.50	621.00	654.00	637.00	634.50	658.00	666.00	669.00	682.00	682.00	661.00	618.00	658.00	653.08	22.869	657.50	  2	656.92	17.729
680.00	653.00	662.00	644.00	653.00	588.50	685.00	666.00	644.00	650.00	661.00	650.00	665.00	629.00	669.00	634.00	662.00	596.50	644.00	659.00	618.00	651.00	634.00	633.00	655.50	662.00	665.00	678.00	677.00	658.00	614.00	654.50	649.84	22.566	653.75	  2	653.67	17.359
677.00	650.00	659.00	641.00	650.00	586.00	680.50	664.00	641.00	646.00	658.50	647.50	662.00	626.00	666.00	631.00	660.00	594.00	642.00	657.00	614.00	648.00	630.00	629.00	652.00	659.00	662.00	675.00	674.00	656.00	612.00	652.00	646.92	22.524	651.00	  2	650.72	17.402
