ch	pt	fine_thr	a_fit	b_fit
 5	 7	 3	222.376	0.694
 5	 7	 4	221.493	0.706
 5	 7	 5	220.322	0.686
 5	 7	 6	219.296	0.616
 5	 7	 7	218.220	0.718
 6	 0	 0	226.548	0.424
 6	 0	 1	225.390	0.455
 6	 0	 2	224.427	0.426
 6	 0	 3	223.301	0.773
 6	 0	 4	222.394	0.711
 6	 0	 5	221.196	0.844
 6	 0	 6	220.165	0.815
 6	 0	 7	218.974	0.824
 6	 1	 0	226.580	0.397
 6	 1	 1	225.375	0.385
 6	 1	 2	224.432	0.863
 6	 1	 3	223.337	0.769
 6	 1	 4	222.328	0.846
 6	 1	 5	221.174	0.938
 6	 1	 6	220.163	0.891
 6	 1	 7	219.035	0.942
 6	 2	 0	226.531	0.369
 6	 2	 1	225.384	0.357
 6	 2	 2	224.434	0.808
 6	 2	 3	223.290	0.893
 6	 2	 4	222.366	0.861
 6	 2	 5	221.229	1.021
 6	 2	 6	220.145	1.013
 6	 2	 7	219.022	1.092
 6	 3	 0	226.586	0.342
 6	 3	 1	225.419	0.339
 6	 3	 2	224.364	1.055
 6	 3	 3	223.272	0.974
 6	 3	 4	222.307	1.052
 6	 3	 5	221.158	1.123
 6	 3	 6	220.178	1.058
 6	 3	 7	218.972	1.091
 6	 4	 0	226.501	0.357
 6	 4	 1	225.342	0.323
 6	 4	 2	224.418	1.093
 6	 4	 3	223.314	1.176
 6	 4	 4	222.359	1.021
 6	 4	 5	221.064	1.167
 6	 4	 6	220.163	1.006
 6	 4	 7	218.950	1.210
 6	 5	 0	226.524	0.341
 6	 5	 1	225.356	0.320
 6	 5	 2	224.407	1.161
 6	 5	 3	223.223	1.207
 6	 5	 4	222.282	1.140
 6	 5	 5	221.089	1.158
 6	 5	 6	220.141	1.164
 6	 5	 7	218.924	1.243
 6	 6	 0	226.538	0.368
 6	 6	 1	225.294	0.357
 6	 6	 2	224.374	1.059
 6	 6	 3	223.258	1.036
 6	 6	 4	222.329	1.128
 6	 6	 5	221.075	1.145
 6	 6	 6	220.127	1.132
 6	 6	 7	218.929	1.140
 6	 7	 0	226.532	0.378
 6	 7	 1	225.340	0.367
 6	 7	 2	224.416	1.081
 6	 7	 3	223.276	0.992
 6	 7	 4	222.315	1.005
 6	 7	 5	221.178	1.073
 6	 7	 6	220.087	1.050
 6	 7	 7	218.914	1.102
 7	 0	 0	221.845	0.418
 7	 0	 1	220.712	0.396
 7	 0	 2	219.803	0.375
 7	 0	 3	218.730	0.727
 7	 0	 4	217.814	0.777
 7	 0	 5	216.725	0.827
 7	 0	 6	215.786	0.797
 7	 0	 7	214.732	0.750
 7	 1	 0	221.809	0.342
 7	 1	 1	220.720	0.344
 7	 1	 2	219.694	0.808
 7	 1	 3	218.664	0.657
 7	 1	 4	217.773	0.868
 7	 1	 5	216.688	0.751
 7	 1	 6	215.704	0.799
 7	 1	 7	214.702	0.861
 7	 2	 0	221.798	0.325
 7	 2	 1	220.703	0.359
 7	 2	 2	219.699	0.821
 7	 2	 3	218.672	0.898
 7	 2	 4	217.750	0.985
 7	 2	 5	216.738	0.917
 7	 2	 6	215.766	1.002
 7	 2	 7	214.679	0.913
 7	 3	 0	221.766	0.312
 7	 3	 1	220.699	0.318
 7	 3	 2	219.723	0.971
 7	 3	 3	218.658	1.071
 7	 3	 4	217.759	0.973
 7	 3	 5	216.703	1.023
 7	 3	 6	215.737	1.026
 7	 3	 7	214.670	1.094
 7	 4	 0	221.779	0.302
 7	 4	 1	220.681	0.293
 7	 4	 2	219.740	1.047
 7	 4	 3	218.697	1.072
 7	 4	 4	217.762	1.156
 7	 4	 5	216.716	1.170
